0,SansAnimation,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,ready?,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,

# Fake-out charge
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0.3,Sound,Charge,,,,,,,
0.5,SansHead,NoEyes,,,,,,,
0.6,Sound,Ding,,,,,,,

# Sudden slam start
0.7,SansHead,BlueEye,,,,,,,
0.7,Sound,GasterBlaster,1.4,,,,,,
0.8,SansSlam,1,,,,,,,
1.0,SansBody,HandUp,,,,,,,
1.0,BoneStab,1,54,0.16666,1,,,,

# Cage the player
1.2,Sound,Bone,,,,,,,
1.2,SineBones,30,-24,360,25,,,,
1.5,Sound,Bone,,,,,,,
1.5,BoneStab,1,574,0.16666,1,,,,

# Pressure phase
1.7,SansBody,HandRight,,,,,,,
1.7,Sound,Ding,,,,,,,
1.8,HeartMode,1,,,,,,,
1.8,SineBones,20,-24,360,35,,,,

# Multi-directional Gaster Blasters
2.0,Sound,GasterBlaster,1.4,,,,,,
2.0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
2.0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
2.0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
2.0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666

# Rotating second wave
2.8,Sound,GasterBlaster,1.2,,,,,,
2.8,GasterBlaster,2,0,0,189,176,45,0.333,0.26666
2.8,GasterBlaster,2,640,0,449,176,135,0.333,0.26666
2.8,GasterBlaster,2,640,480,449,436,225,0.333,0.26666
2.8,GasterBlaster,2,0,480,189,436,315,0.333,0.26666

# Final finishing cross-blasters
3.4,GasterBlaster,3,0,240,139,306,0,0.666,0.5
3.4,GasterBlaster,3,640,240,499,306,180,0.666,0.5
3.8,Sound,Flash,,,,,,,
3.9,BlackScreen,1,,,,,,,
4.1,BlackScreen,0,,,,,,,

# End and dialogue
4.2,SansHead,Default,,,,,,,
4.3,SansText,heh... not bad.,,,,,,,
4.4,EndAttack,,,,,,,,
