0,SansAnimation,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,ready?,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,1,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,BoneStab,1,54,0.16666,1,,,,
0.7,HeartMode,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0.4,Sound,GasterBlaster,1.4,,,,,,
0.4,SineBones,20,-24,360,25,,,,
1.1,SansAnimation,,,,,,,,
0.00,GasterBlaster,1,320,0,320,120,270,0.25,0.22
0.12,GasterBlaster,1,80,120,200,180,45,0.25,0.22
0.24,GasterBlaster,1,560,120,440,180,135,0.25,0.22
0.36,GasterBlaster,1,320,480,320,360,90,0.25,0.22
0.60,GasterBlaster,1,60,60,200,200,30,0.28,0.24
0.62,GasterBlaster,1,580,60,440,200,150,0.28,0.24
0.72,GasterBlaster,1,60,400,200,320,300,0.28,0.24
0.74,GasterBlaster,1,580,400,440,320,210,0.28,0.24
0.96,GasterBlaster,1,320,60,320,180,0,0.30,0.26
1.18,GasterBlaster,1,320,420,320,300,180,0.30,0.26
1.40,GasterBlaster,1,160,240,240,240,90,0.30,0.26
1.40,GasterBlaster,1,480,240,400,240,270,0.30,0.26
1.80,GasterBlaster,2,0,240,140,306,0,0.50,0.40
1.80,GasterBlaster,2,640,240,500,306,180,0.50,0.40
3,SansHead,Default,,,,,,,
0,SansText,not bad.,,,,,,,
0,EndAttack,,,,,,,,




